"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"Eotaxin",6518,"M","15 Mosquitos",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4806,"F","15 Mosquitos",1,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6359,"M","15 Mosquitos",2,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4806,"F","15 Mosquitos",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5730,"F","15 Mosquitos",2,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6550,"M","15 Mosquitos",7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5013,"F","15 Mosquitos",3,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6550,"M","15 Mosquitos",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6347,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4806,"F","15 Mosquitos",7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4683,"F","15 Mosquitos",4,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6518,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6311,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6311,"M","15 Mosquitos",7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4683,"F","15 Mosquitos",2,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5013,"F","15 Mosquitos",7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6359,"M","15 Mosquitos",4,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6311,"M","15 Mosquitos",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4728,"F","15 Mosquitos",4,7.27,2.39,"Squirrel","Zika virus"
"Eotaxin",5013,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6347,"M","15 Mosquitos",4,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4728,"F","15 Mosquitos",2,10.08,2.39,"Squirrel","Zika virus"
"Eotaxin",6359,"M","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5929,"F","Control",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5013,"F","15 Mosquitos",5,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5080,"F","Control",4,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5730,"F","15 Mosquitos",4,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5730,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",4728,"F","15 Mosquitos",8,12.38,2.39,"Squirrel","Zika virus"
"Eotaxin",4806,"F","15 Mosquitos",-7,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5929,"F","Control",1,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5730,"F","15 Mosquitos",8,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5929,"F","Control",3,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5080,"F","Control",8,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",6359,"M","15 Mosquitos",8,2.39,2.39,"Squirrel","Zika virus"
"Eotaxin",5080,"F","Control",2,2.39,2.39,"Squirrel","Zika virus"
