ID	Name	Sex	Original Treatment	Final Treatment	Day Post-Infection	Date	Number of IT-injected mosquitoes that fed	Number of IT-injected mosquitoes that fed and survived to assay	Number of mosquitoes with detectable DENV-2 in collected saliva	Number  IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	% IT-injected mosquitoes with saliva positive for DENV-2 after one passage of saliva in C6/36 cells	Raw estimated titer delivered (FFU)	Corrected estimated titer delivered (log10)	PRNT50	PRNT80	PRNT90	Viremia (pfu/ml)	Viremia detected after 1 passage?	Viremia deduced	Number of mosquitoes that engorged	Number of mosquitoes that engorged AND survived to titer	Number of mosquitoes with detectable body infection	Number of mosquitoes with detectable leg infection	Number of mosquitoes with positive saliva without amplification	Number of mosquitoes with positive saliva after amplification	% mosquitoes infected (body)	% mosquitoes infected (legs)	% mosquitoes infected (body, legs, or saliva)	Mean titer of infected mosquitoes (bodies)	SE of mean titer of infected mosquitoes (bodies)	Mean titer of infected mosquitoes (legs)	SE of mean titer of infected mosquitoes (legs)	Weight (g)	WBC	LYM	MON	NEU	LYM%	MON%	NEU%	RBC	HGB	HCT	MCH	MCV	MCHC	RDWc	RDWs	PLT	MPV	PCT	PDWc	PDWs	PrVW	PrVR	PrVE	WBC Lyse	Lyse2	% NK cells	Number NK cells	TGFbeta	IL-1B	G-CSF	IL-10	IL-6	IL-12	RANTES	Eotaxin	IL-17	MIP-1a	GM-CSF	MIP-1B	MCP-1	IL-15	EGF	IL-5	HGF	VEGF	IFN-g	MDC	I-TAC	MIF	IL-RA	TNF-alpha	IL-2	IP-10	MIG	IL-4	IL-8
6518	Charles	M	15 Mosquitos	15 Mosquitos	4	2021-04-16													1010																																																																						
6311	Romulus	M	15 Mosquitos	15 Mosquitos	4	2021-04-16													7000																																																																						
5013	Melody	F	15 Mosquitos	15 Mosquitos	4	2021-04-16													9000																																																																						
4806	Carrie	F	15 Mosquitos	15 Mosquitos	4	2021-04-16													210000																																																																						
6347	Bloomer	M	15 Mosquitos	15 Mosquitos	4	2021-04-16											250000	Y	250000	5	5	4	5	4	5	80	100	100	6.989001	0.276838	5.87723	0.19003	858																												1.45	2.31	92.07	6.78	4.14	55.3	4.34	1.19	15.66	10.78	8.5	51.58	10.06	38.02	1.65	6.85	35.33	0.48	5.61	147.6	47.82	183.7	27.75	7.23	21.89	3.43	11.8	19.49	5.22
6359	Cassidy	M	15 Mosquitos	15 Mosquitos	4	2021-04-16											14000	Y	14000	7	5	3	5	3	4	60	100	100	6.330409	0.462708	4.79932	0.80203	793																												1.45	0.51	93.48	3.92	4.78	55.3	4.34	1.19	15.66	7.58	8.5	28.07	10.06	38.02	1.65	6.3	35.33	0.48	0.27	147.6	5.21	169.61	27.75	7.23	21.89	4.21	11.8	19.49	6.29
5730	Lydia	F	15 Mosquitos	15 Mosquitos	4	2021-04-16											18000	Y	18000	1	1	1	1	1	1	100	100	100	7.130334	0	5.32222	0	646																												34.82	6.07	90.67	5.74	3.78	55.3	4.34	1.19	15.66	14.2	8.5	21.23	10.06	38.02	6.6	5.6	35.33	0.48	5.61	147.6	36.86	263.34	27.75	7.23	21.89	3.83	11.8	19.49	5.28
4683	Minerva	F	15 Mosquitos	15 Mosquitos	4	2021-04-16											1100000	Y	1100000	4	4	1	4	3	4	25	100	100	7.643453	0	5.58585	0.31255	547																												1.45	6.07	78.06	7.32	4.26	78.24	4.34	1.19	15.66	1.98	8.5	32.82	10.8	38.02	1.65	5.46	35.33	0.48	1.33	147.6	4.9	285.72	27.75	7.23	21.89	0.52	11.8	0.47	5.7
4728	Hope	F	15 Mosquitos	15 Mosquitos	4	2021-04-16											1900000	Y	1900000	6	6	3	6	5	5	50	100	100	7.319282	0.076867	5.05740	0.47465	567																												145.38	1.02	132.6	6.78	4.02	316.86	4.34	7.27	15.66	119.41	8.5	145.08	569.55	368.84	12.65	5.16	1160.73	0.48	231.31	147.6	13.09	447.12	105.82	48.63	21.89	15.28	58.26	60.98	4.32
5929	Polly	F	Control	Control	4	2021-04-16													0																																																																						
