"cytokine","ID","sex","group","day","value","LOD","NHP","virus"
"EGF","NV259","F","Control",3,131.73,3.41,"Cyno","Dengue virus"
"EGF","BC167","F","10 Mosquitos",28,69.11,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",4,142.54,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",4,3.41,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",2,32.69,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",7,3.41,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",4,3.41,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",-7,43.99,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",28,43.79,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",-7,37.34,3.41,"Cyno","Dengue virus"
"EGF","NV289","M","Control",-7,74.83,3.41,"Cyno","Dengue virus"
"EGF","CP60","F","1 Mosquito",-7,85.38,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",3,136.5,3.41,"Cyno","Dengue virus"
"EGF","NV289","M","Control",28,75.01,3.41,"Cyno","Dengue virus"
"EGF","NV259","F","Control",1,129.66,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",4,46.17,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",-7,86.71,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",28,104.03,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",-7,153.46,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",7,18.94,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",-7,68.68,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",6,98.04,3.41,"Cyno","Dengue virus"
"EGF","SB395","F","10 Mosquitos",4,85.45,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",-7,28.12,3.41,"Cyno","Dengue virus"
"EGF","UG171","F","Control",28,116.23,3.41,"Cyno","Dengue virus"
"EGF","BC167","F","10 Mosquitos",2,76.07,3.41,"Cyno","Dengue virus"
"EGF","BC407","F","1 Mosquito",6,9.49,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",1,130.79,3.41,"Cyno","Dengue virus"
"EGF","CP60","F","1 Mosquito",6,93.68,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",28,61.22,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",28,72.91,3.41,"Cyno","Dengue virus"
"EGF","FR840","F","10 Mosquitos",7,93.45,3.41,"Cyno","Dengue virus"
"EGF","UG171","F","Control",1,116.9,3.41,"Cyno","Dengue virus"
"EGF","FR469A","M","1 Mosquito",6,70.19,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",7,48.37,3.41,"Cyno","Dengue virus"
"EGF","SB393","M","1 Mosquito",1,125.89,3.41,"Cyno","Dengue virus"
"EGF","BC167","F","10 Mosquitos",7,67.77,3.41,"Cyno","Dengue virus"
"EGF","BC116A","M","10 Mosquitos",6,32.28,3.41,"Cyno","Dengue virus"
"EGF","NV289","M","Control",1,108.64,3.41,"Cyno","Dengue virus"
"EGF","FR423A","M","10 Mosquitos",-7,89.54,3.41,"Cyno","Dengue virus"
"EGF","SB395","F","10 Mosquitos",7,48.61,3.41,"Cyno","Dengue virus"
"EGF","UG253A","M","Control",6,81.81,3.41,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",3,296.69,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",3,142.73,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",3,151.2,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",3,150.36,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",3,181.67,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",4,137.75,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",3,243.24,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",3,243.02,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",1,64.07,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",3,132.65,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",3,242.65,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",3,140.04,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",4,92.06,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",3,149.41,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",2,85.63,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",6,304.31,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",2,100.28,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",6,122.15,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",2,66.55,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",6,243.5,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",7,151.43,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",5,149.66,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",2,164.58,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",6,65.16,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",3,97.76,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",4,118.92,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",2,124.63,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",4,101.25,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",1,135.28,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",2,73.15,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",2,270.4,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",1,131.51,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",6,170.72,2.64,"Cyno","Dengue virus"
"Eotaxin","UG171","F","Control",7,140.44,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",5,105.45,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",6,146.35,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",6,128.97,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",7,183.57,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",4,84.85,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",1,123.66,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",2,108.22,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",1,164.91,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",3,144.93,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",4,133.78,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",5,192.67,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",1,87.06,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",6,153.46,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",7,258.81,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",1,210.66,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",7,154.19,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",5,177.65,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",6,147.19,2.64,"Cyno","Dengue virus"
"Eotaxin","FR840","F","10 Mosquitos",6,124.7,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",7,94.75,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",4,94.03,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",1,112.89,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",2,275.31,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",4,63.85,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",-7,513.82,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",2,117.06,2.64,"Cyno","Dengue virus"
"Eotaxin","FR469A","M","1 Mosquito",4,174.93,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",5,127.44,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",-7,219.62,2.64,"Cyno","Dengue virus"
"Eotaxin","NV259","F","Control",28,176.67,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",7,181.83,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",5,118.53,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",7,174.92,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",-7,113.29,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",1,266.59,2.64,"Cyno","Dengue virus"
"Eotaxin","NV289","M","Control",5,161.4,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",5,139.55,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",2,131.12,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",4,506.89,2.64,"Cyno","Dengue virus"
"Eotaxin","CP60","F","1 Mosquito",-7,167.18,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",2,119.09,2.64,"Cyno","Dengue virus"
"Eotaxin","UG253A","M","Control",4,92.72,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",5,306.66,2.64,"Cyno","Dengue virus"
"Eotaxin","SB395","F","10 Mosquitos",-7,227.38,2.64,"Cyno","Dengue virus"
"Eotaxin","SB393","M","1 Mosquito",28,169.29,2.64,"Cyno","Dengue virus"
"Eotaxin","BC116A","M","10 Mosquitos",7,98,2.64,"Cyno","Dengue virus"
"Eotaxin","FR423A","M","10 Mosquitos",5,274.14,2.64,"Cyno","Dengue virus"
"Eotaxin","BC407","F","1 Mosquito",28,264.18,2.64,"Cyno","Dengue virus"
"Eotaxin","BC167","F","10 Mosquitos",5,162.81,2.64,"Cyno","Dengue virus"
