name,limit_of_detection
TGFbeta,2.91
IL.1B,12.14
G.CSF,113.59
IL.10,13.57
IL.6,7.71
IL.12,110.63
RANTES,8.68
Eotaxin,2.39
IL.17,31.32
MIP.1a,28.4
GM.CSF,17
MIP.1B,32.57
MCP.1,20.12
IL.15,76.04
EGF,3.29
IL.5,6.39
HGF,70.66
VEGF,0.96
IFN.g,15.43
MDC,295.16
I.TAC,32.04
MIF,8.24
IL.RA,55.49
TNF.alpha,14.46
IL.2,43.77
IP.10,4.35
MIG,23.59
IL.4,38.97
IL.8,11.66
