name,limit_of_detection
TGFbeta,3.3
IL.1B,12.04
G.CSF,113.59
IL.10,13.57
IL.6,7.71
IL.12,112.39
RANTES,9.09
Eotaxin,2.64
IL.17,30.96
MIP.1a,28.54
GM.CSF,12.88
MIP.1B,32.55
MCP.1,20.12
IL.15,75.45
EGF,3.41
IL.5,6.45
HGF,74.94
VEGF,1.35
IFN.g,14.44
MDC,286.83
I.TAC,32.66
MIF,5.06
IL.RA,55.74
TNF.alpha,14.2
IL.2,43.77
IP.10,4.38
MIG,24.23
IL.4,38.96
IL.8,11.68
