"ID","group","day","cytokine","sex","value","LOD","fold_change_baseline","NHP","virus","perc_nk_cells","nb_nk_cells"
"NV259","Control",1,"MIP.1B","F",65.18,32.55,1.01542296307836,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"VEGF","F",1.35,1.35,NA,"Cyno","Dengue virus",4.7,1405
"NV259","Control",1,"IL.12","F",2839.48,112.39,0.918815546358527,"Cyno","Dengue virus",4.7,1405
"NV259","Control",2,"EGF","F",136.56,3.41,1.17239010989011,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.17","F",30.96,30.96,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MDC","F",1475.78,286.83,0.837725995515568,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MIP.1B","F",79.45,32.55,1.23773173391494,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"HGF","F",705.73,74.94,0.867501720916511,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"Eotaxin","F",124.63,2.64,0.458501949819734,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.1B","F",12.04,12.04,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.6","F",7.71,7.71,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"G.CSF","F",123.42,113.59,1.05083014048531,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"MIG","F",24.23,24.23,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.2","F",43.77,43.77,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IL.8","F",11.68,11.68,NA,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"GM.CSF","F",12.88,12.88,1,"Cyno","Dengue virus",6.1,1909
"NV259","Control",2,"IFN.g","F",40.42,14.44,1.3957182320442,"Cyno","Dengue virus",6.1,1909
