log_V	N	k	serotype
3.1	29	23	2
5.0	29	29	2
4.4	44	41	2
2.1	28	12	2
6.9	15	13	2
2.1	12	8	2
2.4	5	4	2
2.1	48	47	2
3.1	45	45	2
0.0	33	18	2
5.8	36	35	2
2.1	24	0	2
3.1	10	3	2
5.2	9	9	2
3.1	10	3	2
5.1	14	14	2
0.0	16	12	2
0.0	5	2	2
5.6	15	13	2
0.0	8	1	2
0.0	32	2	2
6.5	40	38	2
3.4	20	10	2
5.0	22	9	2
4.4	21	17	2
5.1	29	9	2
2.4	20	10	2
5.6	11	10	2
3.1	11	0	2
5.6	15	10	2
4.9	24	20	2
5.4	23	21	2
0.0	26	13	2
0.0	20	1	2
0.0	24	19	2
4.2	9	0	2
6.4	37	37	2
4.1	35	34	2
0.0	16	9	2
2.6	34	0	2
